,mean_temp
min_humidity_380,-0.3699995594945716
max_pressure,-0.34148871359227234
min_humidity_370,-0.3316988132607675
min_humidity_369,-0.32516998662916363
min_humidity_3,-0.3218958373258042
min_humidity_4,-0.32162435250483545
min_humidity_365,-0.3197971509628031
min_humidity_368,-0.3107198466120577
min_humidity_366,-0.3086435676201712
min_humidity_2,-0.30826553679426555
min_humidity_5,-0.3082308066155165
min_humidity_6,-0.3035039608271875
min_humidity_367,-0.3018913402497816
min_humidity_7,-0.2930911360178394
max_pressure_368,-0.2633900079139591
max_pressure_369,-0.2596134170392582
max_pressure_370,-0.2544823935326533
min_humidity_1,-0.25079899604387024
max_pressure_367,-0.24324199672935717
max_pressure_380,-0.2428131792959088
min_humidity,-0.23564341044511636
max_pressure_366,-0.21795701554293984
max_pressure_1,-0.215696499730292
max_pressure_7,-0.20486744878839333
max_pressure_6,-0.19084114481694492
max_pressure_365,-0.18988251271771267
mean_pressure,-0.18978921947104635
max_pressure_5,-0.16890948310608964
max_pressure_4,-0.1528455101674121
max_pressure_3,-0.13955309989018977
max_pressure_2,-0.13710001230853175
mean_pressure_369,-0.10534294164329892
mean_pressure_370,-0.102885985703867
mean_pressure_368,-0.09673509617131383
mean_pressure_380,-0.087691355442124
max_humidity_380,-0.086752500207114
precip_probability_365,-0.08061351850714395
precip_probability_2,-0.07779256706284529
precip_probability_380,-0.07489677301502413
mean_pressure_367,-0.07147598532904959
precip_probability_3,-0.06761593404570868
precip_probability_366,-0.06312208009206227
max_humidity_370,-0.06202603501629018
mean_pressure_7,-0.05868681067175723
precip_probability_367,-0.05820592320444864
precip_probability_4,-0.05522057752070766
max_humidity_369,-0.052624091514060244
max_humidity_365,-0.05215679705745648
precip_probability_368,-0.049463080941060035
mean_pressure_366,-0.048435608081793376
max_humidity_368,-0.04816192737615781
max_humidity_367,-0.0464544024326165
mean_pressure_6,-0.04627132904095483
precip_probability_370,-0.04533950522053361
max_humidity_366,-0.04355685379209318
precip_probability_6,-0.04324910506185028
mean_pressure_1,-0.04283634559148569
precip_probability_5,-0.04256976172061139
precip_probability_7,-0.04075427362577807
precip_probability_369,-0.03991174364111246
precip_probability_1,-0.03190588830956973
min_pressure,-0.026046552990122793
mean_pressure_365,-0.02354142875555041
mean_pressure_5,-0.022988063685350613
precip_intensity_2,-0.0056079432209533335
precip_intensity_3,-0.003968475228973836
mean_pressure_4,-0.002325594347842393
max_humidity_7,0.006320703764541965
max_humidity_6,0.006482788091165127
precip_intensity_4,0.014471118633853636
max_humidity_4,0.015977207245593136
max_humidity_5,0.016127343388184463
mean_pressure_3,0.017024330767446597
precip_intensity_5,0.0171565415469837
max_humidity_3,0.019735224756854117
precip_intensity_1,0.020194837158370692
max_humidity_2,0.020664642774769915
precip_intensity_6,0.02235714504169661
precip_intensity_7,0.026718513554134477
mean_pressure_2,0.030020725781790714
precip_intensity_365,0.03144441103870567
min_pressure_370,0.032453036209493344
min_pressure_369,0.036377941864763064
precip_intensity_380,0.03768176033869055
precip_intensity_368,0.04279995211887778
precip_intensity_367,0.04942293840928571
precip_probability,0.04987222756622352
precip_intensity_366,0.05018565682705751
precip_intensity_369,0.05071134359163644
min_pressure_380,0.05201881667700569
min_pressure_368,0.05884896167204721
precip_intensity_370,0.06078169568026196
precip_intensity,0.06607760492155942
min_pressure_7,0.08638971929414153
max_humidity_1,0.08757447447865797
min_pressure_367,0.08826175756172762
min_pressure_6,0.0954484417893698
min_pressure_366,0.10534149315662601
min_pressure_1,0.11032495329975725
min_pressure_5,0.11594767159150728
min_pressure_365,0.1231446928289574
min_pressure_4,0.14315911897677874
max_humidity,0.14653116547420802
min_pressure_3,0.1695038469142464
min_pressure_2,0.18435523555451908
max_dewpt_380,0.6874814655412742
mean_dewpt_380,0.6999888719750056
min_dewpt_380,0.7065725580770043
max_dewpt_370,0.7263676631141043
max_dewpt_369,0.7312353460508623
max_dewpt_368,0.731643075119745
max_dewpt_365,0.7340248894104343
max_dewpt_367,0.7348020142862335
mean_dewpt_370,0.7367079076681684
max_dewpt_366,0.7368847627877159
min_dewpt_370,0.7390540190948354
mean_dewpt_369,0.7456743866831431
min_dewpt_369,0.7490325318573725
mean_dewpt_365,0.7508270180887711
max_dewpt_7,0.7509235249025473
mean_dewpt_368,0.7540236899654122
min_temp_380,0.754091595824777
min_dewpt_365,0.754229446405513
max_dewpt_6,0.7563647424600208
mean_dewpt_367,0.7563670012150321
mean_dewpt_366,0.7572001101594661
max_dewpt_5,0.7600079802113465
min_dewpt_368,0.7628216067999514
min_dewpt_366,0.7632864964476151
min_dewpt_367,0.7649158482542355
max_dewpt_4,0.7666434752614084
mean_dewpt_7,0.7667114439216054
mean_dewpt_6,0.7685502978303244
min_dewpt_7,0.7721700789947205
min_dewpt_6,0.7735556338926816
mean_dewpt_5,0.7735801040023883
min_dewpt_5,0.7803884879656363
max_dewpt_3,0.7815100611561777
mean_dewpt_4,0.7815756907023635
min_temp_370,0.7833489569787134
mean_temp_380,0.7852113573699447
min_dewpt_4,0.7904660920389882
min_temp_365,0.7908074390559089
max_temp_380,0.7912842890066877
min_temp_369,0.7929367799512177
min_temp_366,0.7965384731356538
min_temp_367,0.7975446870552854
mean_dewpt_3,0.7977426097375996
min_temp_368,0.8003066228657945
min_temp_7,0.8007354044659111
min_temp_6,0.8020757893529197
min_dewpt_3,0.8080666402875515
mean_temp_370,0.8083034966187076
min_temp_5,0.8087937971430346
max_temp_370,0.8089168838146074
max_temp_369,0.8101798458481747
max_temp_365,0.810344838946713
max_temp_368,0.811589325472061
max_temp_367,0.811811475503583
max_temp_366,0.8123928227026395
max_dewpt_2,0.8128494170210072
mean_temp_369,0.8146324327665625
mean_temp_365,0.8151122280423984
mean_temp_367,0.8184699530478522
mean_temp_368,0.8185041010694794
mean_temp_366,0.819085475105154
min_temp_4,0.8202785021995408
max_temp_7,0.8230219650767898
mean_temp_7,0.8251502340773091
mean_temp_6,0.8280489269602533
max_temp_6,0.828525166376672
mean_dewpt_2,0.8303553955885391
mean_temp_5,0.8333243227548708
max_temp_5,0.8335168770044449
min_temp_3,0.8357880470349318
min_dewpt_2,0.8409820557981446
max_temp_4,0.8438165137440427
mean_temp_4,0.8443181426154621
mean_temp_3,0.8611162984179849
max_temp_3,0.8619572694765797
min_temp_2,0.8648282862063754
max_dewpt_1,0.8845745672245375
mean_temp_2,0.8907430511549156
max_temp_2,0.8916479395056591
mean_dewpt_1,0.9015998854318259
min_dewpt_1,0.907594749626994
min_temp_1,0.9226443781064999
max_temp_1,0.9444705518934005
mean_temp_1,0.9460633690628159
max_dewpt,0.953893276887625
min_dewpt,0.9562751046035245
mean_dewpt,0.965158088434545
min_temp,0.9818467707127866
max_temp,0.9897549957959169
mean_temp,1.0
